products,Topic0,Topic1,Topic2,dominant_topic,topic_words
/Lenovo-1920x1080-Processor-Windows-82B1000AUS/product-reviews/B08BB9RWXD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.0,0.0,1.0,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Lenovo-Chromebook-Convertible-11-6-Inch-81HY0000US/product-reviews/B07GM2J11Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.99,0.01,1,"['screen', 'use', 'fast', 'laptop', 'nice', 'good', 'notebook', 'bright', 'windows', 'decided']"
/Lenovo-Convertible-i5-1035G1-Processor-81X1004RUS/product-reviews/B0872JDR2M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.01,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Lenovo-Graphics-included-81X20005US-Graphite/product-reviews/B086226DDB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.98,0.01,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Lenovo-IdeaPad-Laptop-i5-1035G1-Platinum/product-reviews/B08W4PJC8J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.02,0.02,0.97,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Lenovo-L340-Ryzen-3500U-256GB/product-reviews/B083JNX5GP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.96,0.02,0.02,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Lenovo-Processor-Graphics-81W10094US-Business/product-reviews/B0872K4XCJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.93,0.03,0.04,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/M509DA-Laptop-Processor-Storage-Windows/product-reviews/B08HKKZ6SS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.97,0.01,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Microsoft-Surface-Laptop-Go-Touchscreen/product-reviews/B08GZKZ95X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.03,0.02,0.95,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Microsoft-VGY-00001-Surface-Laptop-Touch-Screen/product-reviews/B07YNK3R68/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.0,0.0,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Newest-HP-Pavilion-Pentium-Windows/product-reviews/B0894DBTRV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.98,0.01,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Pavilion-15-6-FHD-Gaming-Laptop/product-reviews/B08P6MRZBG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.77,0.11,0.12,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Processor-NumberPad-Microsoft-Personal-L210MA-DB01/product-reviews/B081V6W99V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.99,0.0,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Quad-core-celeron_j3455-Processor-scalable-10000mAh/product-reviews/B08CMTHL8R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.03,0.94,0.03,1,"['screen', 'use', 'fast', 'laptop', 'nice', 'good', 'notebook', 'bright', 'windows', 'decided']"
/Quad-core-celeron_j4115-Processor-scalable-10000mAh/product-reviews/B08QMHV7Y8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.03,0.02,0.95,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/RCA-Quad-Core-Touchscreen-Bluetooth-Detachable/product-reviews/B07YBKV7SS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.01,0.98,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Razer-Blade-Gaming-Laptop-2020/product-reviews/B086MFZBM9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.98,0.01,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/VivoBook-Display-Graphics-Fingerprint-M415DA-AS51-CA/product-reviews/B08R7WG9QC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.99,0.0,0.0,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/VivoBook-Display-Graphics-Fingerprint-M515DA-AS71-CA/product-reviews/B08R7X6GCV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.02,0.02,0.96,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-AB01-CA/product-reviews/B087Z58PY5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.0,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/VivoBook-i3-1005G1-Processor-Fingerprint-F515JA-AH31/product-reviews/B08H4YTTLP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.0,0.0,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/VivoBook-i5-1035G1-Backlit-Fingerprint-F512JA-AS34/product-reviews/B086QZSLDH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.01,0.97,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Windows-Celeron-Storage-10000Mah-Battery/product-reviews/B08YYKPRGY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.02,0.03,0.95,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/XPG-i7-9750H-Gaming-Laptop-XENIA159GENI72070Q-BKCUS/product-reviews/B086Z4S3S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.99,0.0,0.0,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
